DATE,TOTAL,TIME,PM2.5,SO2_TIME,Location,YEAR,SO2
2019-10-01,7,2019-10-01 00:00:00,1.83798129e-08,2019-10-01 00:00:00,STATION4,2019,
2019-11-01,7,2019-11-01 00:00:00,3.36966561e-08,2019-11-01 00:00:00,STATION4,2019,
2019-12-01,10,2019-12-01 00:00:00,6.33764762e-08,2019-12-01 00:00:00,STATION4,2019,
2020-01-01,8,2020-01-01 00:00:00,1.6398006e-07,2020-01-01 00:00:00,STATION4,2020,
2020-02-01,3,2020-02-01 00:00:00,1.52788748e-07,2020-02-01 00:00:00,STATION4,2020,
2020-03-01,6,2020-03-01 00:00:00,6.33438989e-08,2020-03-01 00:00:00,STATION4,2020,
2020-04-01,6,2020-04-01 00:00:00,4.67374186e-08,2020-04-01 00:00:00,STATION4,2020,
2020-05-01,2,2020-05-01 00:00:00,2.94965079e-08,2020-05-01 00:00:00,STATION4,2020,
2020-06-01,1,2020-06-01 00:00:00,1.93505652e-08,2020-06-01 00:00:00,STATION4,2020,
2020-07-01,2,2020-07-01 00:00:00,1.10376836e-08,2020-07-01 00:00:00,STATION4,2020,
2020-08-01,2,2020-08-01 00:00:00,1.03641432e-08,2020-08-01 00:00:00,STATION4,2020,
2020-09-01,4,2020-09-01 00:00:00,1.30499789e-08,2020-09-01 00:00:00,STATION4,2020,
2020-10-01,6,2020-10-01 00:00:00,2.8782211e-08,2020-10-01 00:00:00,STATION4,2020,
2020-11-01,8,2020-11-01 00:00:00,5.92941875e-08,2020-11-01 00:00:00,STATION4,2020,
2020-12-01,7,2020-12-01 00:00:00,6.69945091e-08,2020-12-01 00:00:00,STATION4,2020,
2021-01-01,9,2021-01-01 00:00:00,9.38942078e-08,2021-01-01 00:00:00,STATION4,2021,
2021-02-01,12,2021-02-01 00:00:00,1.42711837e-07,2021-02-01 00:00:00,STATION4,2021,
2021-03-01,8,2021-03-01 00:00:00,9.03533386e-08,2021-03-01 00:00:00,STATION4,2021,
2021-04-01,3,2021-04-01 00:00:00,5.13340973e-08,2021-04-01 00:00:00,STATION4,2021,
